,dim_hidden,acc mean,acc std
0,4,0.6375,0.030460711388140705
1,8,0.6625,0.016953549466296805
2,12,0.7375,0.021561353744805587
3,16,0.6458333333333334,0.022609473050138475
4,20,0.6166666666666666,0.019444444444444445
5,24,0.7041666666666666,0.018055555555555554
6,28,0.7583333333333333,0.030301978096210318
7,32,0.725,0.024999999999999998
8,36,0.7833333333333334,0.018425693279752218
9,40,0.8208333333333334,0.015277777777777779
10,44,0.8291666666666666,0.02007893374277911
11,48,0.7916666666666666,0.023240556292613207
12,52,0.8541666666666666,0.015528249843748535
13,56,0.8041666666666666,0.021561353744805587
14,60,0.8458333333333332,0.0196908984427192
15,64,0.8208333333333334,0.019690898442719196
16,68,0.8,0.02832788618662658
17,72,0.8708333333333333,0.018055555555555554
18,76,0.8666666666666666,0.017347216662217772
19,80,0.8708333333333332,0.02007893374277911
20,84,0.8833333333333334,0.012108052620946313
21,88,0.9,0.018839805508681296
22,92,0.8625,0.02064731770460903
23,96,0.8958333333333334,0.01889093126213256
24,100,0.8458333333333332,0.01649214178755266
25,104,0.8875,0.012499999999999989
26,108,0.8333333333333333,0.01756820922315766
27,112,0.875,0.01388888888888889
28,116,0.7958333333333333,0.014500425706820209
